update,train_loss,val_loss,gradient_norm
221,0.0034347574692219496,,0.016733011230826378
222,0.0035529721062630415,,0.013724220916628838
223,0.002900616731494665,,0.00901979859918356
224,0.0029980612453073263,,0.014212870970368385
225,0.004519227892160416,,0.014323757030069828
226,0.0035642804577946663,,0.010656232014298439
227,0.0037740347906947136,,0.011572165414690971
228,0.0035946115385740995,,0.011050187051296234
229,0.00474903266876936,,0.009533637203276157
230,0.0039381422102451324,,0.010110783390700817
231,0.003833630122244358,,0.010746190324425697
232,0.003642645664513111,,0.00803122017532587
233,0.003937914967536926,,0.011138702742755413
234,0.004487941972911358,,0.010589410550892353
235,0.003572473069652915,,0.0082459207624197
236,0.0035495690535753965,,0.010047448799014091
237,0.0030907317996025085,,0.008186726830899715
238,0.0037826288025826216,,0.009956356137990952
239,0.00474121980369091,,0.010881050489842892
240,0.003936713561415672,,0.007940809242427349
241,0.004088165704160929,,0.009228503331542015
242,0.0037120822817087173,,0.01270233653485775
243,0.0038165594451129436,,0.00892664585262537
244,0.003020119620487094,,0.011403555050492287
245,0.003356512635946274,,0.014537019655108452
246,0.004254363477230072,,0.009924396872520447
247,0.002935172524303198,,0.00781525019556284
248,0.0036602418404072523,,0.015172076411545277
249,0.0036695930175483227,,0.010425301268696785
250,0.004117272328585386,,0.00790114514529705
251,0.0034320829436182976,,0.018125882372260094
252,0.0032856049947440624,,0.012082034721970558
253,0.0036692111752927303,,0.010610866360366344
254,0.00346891931258142,,0.017974797636270523
255,0.0038611197378486395,,0.007204156368970871
256,0.003072215709835291,,0.006164941005408764
257,0.004806088749319315,,0.013281155377626419
258,0.0030757326167076826,,0.011094185523688793
259,0.0031566328834742308,,0.011501014232635498
260,0.0032048900611698627,,0.009978882037103176
261,0.0038073554169386625,,0.01022364106029272
262,0.003520773258060217,,0.009546098299324512
263,0.0033581971656531096,,0.007426448166370392
264,0.0029156520031392574,,0.011477082967758179
265,0.0031318708788603544,,0.011264024302363396
